ip,puertos,rol,asn,org,pais,familia,actualizado
8.222.223.201,1883,MQTT C2,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",SG,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
15.204.53.165,9929,,16276,"OVH - OVH SAS, FR",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
35.241.108.36,7890,proxy (Clash/Mihomo),396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
43.102.213.93,279,,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",SG,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
43.134.123.123,239 286,,132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",SG,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
43.135.147.227,242,,132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",SG,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
45.78.212.78,245 290,,150436,"BYTEPLUS-AS-AP - Byteplus Pte. Ltd., SG",SG,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
46.8.9.225,18081,mineria Monero,60592,"GRANSY - Gransy s.r.o., CZ",CZ,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
46.8.9.226,18081,mineria Monero,60592,"GRANSY - Gransy s.r.o., CZ",CZ,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
46.8.9.227,18081,mineria Monero,60592,"GRANSY - Gransy s.r.o., CZ",CZ,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
46.62.150.144,21,,24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
47.84.75.112,,,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
47.253.5.149,9377,,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
51.81.137.85,9998,,16276,"OVH - OVH SAS, FR",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
107.151.249.174,9998,,62610,"ZEN-DPS - Zenlayer Inc, US",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
119.28.94.95,9998,,132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",CN,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
136.243.48.224,9529,,24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
144.217.195.210,9903,,16276,"OVH - OVH SAS, FR",CA,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
154.39.72.88,2918,,40065,"CNSERVERS - CNSERVERS LLC, US",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
154.44.8.142,18081,mineria Monero,979,"NETLAB-SDN - NetLab Global, US",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
154.83.197.187,9998,,135377,"UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK",SC,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
192.254.87.10,9998,,21859,"ZEN-ECN - Zenlayer Inc, US",US,BADBOX 2.0 / Vo1d / Kimwolf,2026-08-12 01:46 UTC
